Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Generic Models,FD-Full Haunching,HYD Pipe Haunching-SSNDriveway-RC,FD-Full Haunching,,,,,HYD Pipe Haunching-SSNDriveway-RC,,<By Category>
Generic Models,Family1,Hydrant Plinth,Family1,,,,,Hydrant Plinth,,<By Category>
Generic Models,Family1,Family1,Family1,,,,,Family1,,<By Category>
Ducts,Rectangular Duct,FA TRUNKING,Rectangular Duct,,,,,FA TRUNKING,,<By Category>
Ducts,Rectangular Duct,Full Hunching,Rectangular Duct,,,,,Full Hunching,,<By Category>
Specialty Equipment,,,FD-VALVE CHAMBER,,,,,,,
Duct Fittings,M_Rectangular Elbow - Mitered - Transition,Standard,M_Rectangular Elbow - Mitered - Transition,,,,,Standard,,<By Category>
Duct Fittings,FIT_DU-Elbow rectangular radius,0.6 W,FIT_DU-Elbow rectangular radius,,,,,0.6 W,,<By Category>
Duct Fittings,Rectangular Concentric Taper - Flanged,Standard,Rectangular Concentric Taper - Flanged,,,,,Standard,,<By Category>
Duct Fittings,FIT_DU-Transition rectangular angle,45 Degree,FIT_DU-Transition rectangular angle,,,,,45 Degree,,<By Category>
Electrical Equipment,Earth Pit,Earth Pit,Earth Pit,23-29 25 15 19 10,,,,Earth Pit,,<By Category>
Pipe Fittings,OOG_PFIT_MI_Threaded Cap_V17,Standard,OOG_PFIT_MI_Threaded Cap_V17,,,,,Standard,,<By Category>
Pipe Fittings,FIT_PI-Union coupling threaded,BCE,FIT_PI-Union coupling threaded,,,,,BCE,,<By Category>
Pipe Fittings,FIT_PI-Junction tee reducing threaded3,BCE,FIT_PI-Junction tee reducing threaded3,,,,,BCE,,<By Category>
Pipe Fittings,M_Cross Reducing - Threaded - MI - Class 150,Standard,M_Cross Reducing - Threaded - MI - Class 150,,,,fittings,Standard,,<By Category>
Electrical Equipment,RCU BOX,RCU BOX,RCU BOX,,,,,RCU BOX,,<By Category>
Fire Alarm Devices,FD-FiremenIntercomFixtureAndDevice-Repeater Panel,Repeater Panel,FD-FiremenIntercomFixtureAndDevice-Repeater Panel,D7050.10,Fire Detection and Alarm,Repeater Panel,Repeater Panel,Repeater Panel,,<By Category>
Generic Models,PS26_M_AC_HANGER,"1.5"",PS26_M_AC_HANGER""",[8790519],,Pipe Hanger-Padded,,"1.5"","",<By Category>""",,,
Generic Models,PS26_M_AC_HANGER,"1.5"",PS26_M_AC_HANGER""",[8790521],,Pipe Hanger-Padded,,"1.5"","",<By Category>""",,,
