Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Prediction
Generic Models,SECURITY,SECURITY,SECURITY [7666573],,,SECURITY ROOM SIGANGE,MCR07,SECURITY,,<By Category>,
Generic Models,Outlet - 2 Outlet 2 Switch,Outlet - 2 Outlet 2 Switch,Outlet - 2 Outlet 2 Switch [7937852],E1090900,Other Equipment,FIRE RATED ROLLER SHUTTER SWITCH,MCR07,Outlet - 2 Outlet 2 Switch,,<By Category>,
Generic Models,FIRE CONTROL MODULE,FIRE CONTROL MODULE,FIRE CONTROL MODULE [7944661],,,FIRE RATED ROLLER SHUTTER - FIRE CONTROL MODULE,MCR07,FIRE CONTROL MODULE,,<By Category>,
Generic Models,Pallet_Racking_-_Victor_-_Adjustable_Beams_-_Optional_Shelving_8623,600 x 1200mm Racking,Pallet_Racking_-_Victor_-_Adjustable_Beams_-_Optional_Shelving_8623 [8062249],,,NA,MCR07,600 x 1200mm Racking,,<By Category>,
Generic Models,OG Box130,OG Box,OG Box130 [8062247],,,NA,NA,OG Box,,<By Category>,
Generic Models,Generic Models 2,Generic Models 1,Generic Models 2 [8559094],,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,
Generic Models,Generic Models 3,Generic Models 1,Generic Models 3 [8559272],,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,
Generic Models,Generic Models 4,Generic Models 1,Generic Models 4 [8559418],,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,
Generic Models,Generic Models 5,Generic Models 1,Generic Models 5 [8559435],E1090100,Maintenance Equipment,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,
Generic Models,Generic Models 6,Generic Models 1,Generic Models 6 [8559455],,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,
Generic Models,Generic Models 1,Generic Models 1,Generic Models 1 [8593808],,,STEEL CHAIN FOR RESCUE PLATFORM,NA,Generic Models 1,,<By Category>,
Generic Models,Generic Models 7,Generic Models 7,Generic Models 7 [9224066],,,48 DIAMETER X 2MM THK PIPE REMOVABLE RAILING,MCR07,Generic Models 7,,<By Category>,
Generic Models,Generic Models 8,Generic Models 1,Generic Models 8 [9224539],,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,
Generic Models,Generic Models 9,Generic Models 1,Generic Models 9 [9224558],,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,
Generic Models,Generic Models 10,Generic Models 1,Generic Models 10 [9227995],,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,
Generic Models,Generic Models 11,Generic Models 1,Generic Models 11 [9228015],,,STEEL CHAIN FOR RESCUE PLATFORM,MCR07,Generic Models 1,,<By Category>,
Generic Models,Furniture 2,Furniture 2,Furniture 2 [9316724],,,SAFETY HOOK,MCR07,Furniture 2,,<By Category>,
Generic Models,Generic Models 12,Generic Models 12,Generic Models 12 [9384307],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 13,Generic Models 13,Generic Models 13 [9385063],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 14,Generic Models 12,Generic Models 14 [9385681],E1090100,Maintenance Equipment,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 15,Generic Models 15,Generic Models 15 [9387292],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 16,Generic Models 12,Generic Models 16 [9389607],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 17,Generic Models 13,Generic Models 17 [9389620],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
Generic Models,Generic Models 18,Generic Models 12,Generic Models 18 [9389632],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 19,Generic Models 15,Generic Models 19 [9389648],,,BOLTS & NUTS,MCR07,Generic Models 15,,<By Category>,
Generic Models,Generic Models 20,Generic Models 12,Generic Models 20 [9391668],,,CLAMPS DESIGNED FOR KLIPLOK ROOF,MCR07,Generic Models 12,,<By Category>,
Generic Models,Generic Models 21,Generic Models 13,Generic Models 21 [9391681],,,KLIPLOK,MCR07,Generic Models 13,,<By Category>,
