Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Doors,TS_MD2,MD2,TS_MD2,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,MD2,,,General Door Item
Doors,TS_FD2,FD2,TS_FD2,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FD2,,,General Door Item
Doors,TS_FDV1d,FDV1d,TS_FDV1d,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FDV1d,,,General Door Item
Doors,TS_FD3,FD3,TS_FD3,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FD3,,,General Door Item
Doors,TS_FDV2A,FDV2A,TS_FDV2A,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FDV2A,,,General Door Item
Doors,TS_FD2A,FD2A,TS_FD2A,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FD2A,,,General Door Item
Doors,,,TS_Fire Lift Signage,,,,,,,,General Door Item
Doors,,,TS_Handicap Logo,,,,,,,,General Door Item
Doors,TS_Fire Lift Door-(Opt1),Fire Lift Door,TS_Fire Lift Door Jamb,,,,,TS_Fire Lift Door Jamb,,,General Door Item
Doors,TS_Fire Lift Door-(Opt1),Fire Lift Door,TS_Fire Lift Door-(Opt1),,,Door : Fire Lift Door,,Fire Lift Door,,,General Door Item
Doors,,,TS_Passenger Lift Signage,,,,,,,,General Door Item
Doors,TS_Passenger Lift Door-(Opt1),TS_Passenger Lift Signage [77781817],TS_Fire Lift Door Jamb,,,,,TS_Fire Lift Door Jamb,,,General Door Item
Doors,TS_Passenger Lift Door-(Opt1),Passenger Lift Door,TS_Passenger Lift Door-(Opt1),,,Door : Fire Lift Door,,Passenger Lift Door,,,General Door Item
Doors,TS_FDV1,FDV1,TS_FDV1,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FDV1,,,General Door Item
Doors,TS_MDL1,MDL1,TS_MDL1,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,MDL1,,,General Door Item
Doors,TS_BD1,BD1,TS_BD1,,,"Door : Bi-Fold Door, Acrylic",MCR03-01-01-,BD1,,,General Door Item
Doors,TS_AD (SR),AD (SR),TS_AD (SR),,,"Door : Swing Door, Aluminum Powder Coat",MCR03-01-01-,AD (SR),,,General Door Item
Doors,TS_FDV1b,FDV1b,TS_FDV1b,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FDV1b,,,General Door Item
Doors,TS_FDV2,FDV2,TS_FDV2,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FDV2,,,General Door Item
Doors,TS_Cargo Lift Door1,LD 2 cargo,TS_Cargo Lift Door1,,,Door : Cargo Lift Door,,LD 2 cargo,,,General Door Item
Doors,TS_Cargo Lift Door1,LD 1 cargo,TS_Cargo Lift Door1,,,Door : Cargo Lift Door,,LD 1 cargo,,,General Door Item
Doors,TS_Cargo Lift Door,TS_Cargo Lift 02,TS_Cargo Lift Door,,,,,TS_Cargo Lift 02,,,General Door Item
Doors,TS_Cargo Lift Door,TS_Cargo Lift 01,TS_Cargo Lift Door,,,,,TS_Cargo Lift 01,,,General Door Item
Doors,DR-Lift door Al-passenger,LD 3 cargo,DR-Lift door Al-passenger,,,,,LD 3 cargo,,,General Door Item
Doors,TS_FD1A,FD1A,TS_FD1A,,,"Door : Swing Door, Fire Rated Aluminum Door",MCR03-01-01-,FD1A,,,General Door Item
Parking,,,TS_Car Park,,,,,,,,NOT SURE
Parking,,,TS_Lorry Park,,,,,,,,NOT SURE
Parking,,,TS_Motorycyle Park,,,,,,,,NOT SURE
Windows,TS_ACW4,TS_ACW4,TS_ACW4,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW4,,,NOT SURE
Windows,TS_ATW3,TS_ATW3,TS_ATW3,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_ATW3,,,NOT SURE
Windows,TS_ATW4m,TS_ATW4m,TS_ATW4m,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_ATW4m,,,NOT SURE
Windows,TS_GLW4,TS_GLW4,TS_GLW4,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_GLW4,,,NOT SURE
Windows,TS_ASW6,TS_ASW6,TS_ASW6,,,WINDOW : Aluminum Frame Sliding Glass Window,,TS_ASW6,,,NOT SURE
Windows,TS_ASW7,TS_ASW7,TS_ASW7,,,Aluminum Frame Sliding Glass Window,,TS_ASW7,,,NOT SURE
Windows,TS_GLW3.1,TS_GLW3.1,TS_GLW3.1,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_GLW3.1,,,NOT SURE
Windows,TS_GLW2,TS_GLW2,TS_GLW2,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_GLW2,,,NOT SURE
Windows,TS_ACW6F1,TS_ACW6F1,TS_ACW6F1,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW6F1,,,NOT SURE
Windows,TS_ATW1,TS_ATW1,TS_ATW1,,,Window : Aluminum Frame Fixed Top Hung Window,,TS_ATW1,,,NOT SURE
Windows,TS_ACW9,TS_ACW9,TS_ACW9,,,Aluminum Frame Casement Glass Window,,TS_ACW9,,,NOT SURE
Windows,TS_ACW6,TS_ACW6,TS_ACW6,,,Aluminum Frame Casement Glass Window,,TS_ACW6,,,NOT SURE
Windows,TS_ACW6F3,ACW6F3,TS_ACW6F3,,,WINDOW : Aluminum Frame Casement Glass Window,,ACW6F3,,,NOT SURE
Windows,TS_ASW10,TS_ASW10,TS_ASW10,,,WINDOW : Aluminum Frame Sliding Glass Window,,TS_ASW10,,,NOT SURE
Windows,TS_ACW6F2,TS_ACW6F2,TS_ACW6F2,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW6F2,,,NOT SURE
Windows,TS_ASW9,TS_ASW9,TS_ASW9,,,WINDOW : Aluminum Frame Sliding Glass Window,,TS_ASW9,,,NOT SURE
Windows,TS_ASW9m,TS_ASW9m,TS_ASW9m,,,WINDOW : Aluminum Frame Sliding Glass Window,,TS_ASW9m,,,NOT SURE
Windows,TS_AL Screen (3320x2000) - Type B,TS_AL Screen (3320x2000) - Type B,TS_AL Screen (3320x2000) - Type B,,,WINDOW : Aluminum Screen,,TS_AL Screen (3320x2000) - Type B,,,NOT SURE
Windows,TS_ATW2L,TS_ATW2L,TS_ATW2L,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_ATW2L,,,NOT SURE
Windows,TS_ASW10m,TS_ASW10m,TS_ASW10m,,,WINDOW : Aluminum Frame Sliding Glass Window,,TS_ASW10m,,,NOT SURE
Windows,TS_AL Screen (3220x2000) - Type B,TS_AL Screen (3220x2000) - Type B,TS_AL Screen (3220x2000) - Type B,,,WINDOW : Aluminum Screen,,TS_AL Screen (3220x2000) - Type B,,,NOT SURE
Windows,TS_ACW9F1,TS_ACW9F1,TS_ACW9F1,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW9F1,,,NOT SURE
Windows,TS_AL Screen (2210x2000) - Type A,TS_AL Screen (2210x2000) - Type A,TS_AL Screen (2210x2000) - Type A,,,WINDOW : Aluminum Screen,,TS_AL Screen (2210x2000) - Type A,,,NOT SURE
Windows,TS_AL Screen (3300x2000) - Type B,TS_AL Screen (3300x2000) - Type B,TS_AL Screen (3300x2000) - Type B,,,WINDOW : Aluminum Screen,,TS_AL Screen (3300x2000) - Type B,,,NOT SURE
Windows,TS_ACW4F1,TS_ACW4F1,TS_ACW4F1,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW4F1,,,NOT SURE
Windows,TS_AL Screen (1350x2040) - Type A,TS_AL Screen (1350x2040) - Type A,TS_AL Screen (1350x2040) - Type A,,,WINDOW : Aluminum Screen,,TS_AL Screen (1350x2040) - Type A,,,NOT SURE
Windows,TS_AL Screen (1350x2040) - Type A,TS_AL Screen (1070x2000) - Type A,TS_AL Screen (1350x2040) - Type A,,,WINDOW : Aluminum Screen,,TS_AL Screen (1070x2000) - Type A,,,NOT SURE
Windows,TS_AL Screen (1070x2040) - Type A,TS_AL Screen (1070x2000) - Type A,TS_AL Screen (1070x2040) - Type A,,,WINDOW : Aluminum Screen,,TS_AL Screen (1070x2000) - Type A,,,NOT SURE
Windows,TS_ACW6F4,ACW6F4,TS_ACW6F4,,,WINDOW : Aluminum Frame Casement Glass Window,,ACW6F4,,,NOT SURE
Windows,TS_ACW4F2,ACW4F2,TS_ACW4F2,,,WINDOW : Aluminum Frame Casement Glass Window,,ACW4F2,,,NOT SURE
Windows,TS_ACW8,TS_ACW8,TS_ACW8,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW8,,,NOT SURE
Windows,TS_ACW8F1,TS_ACW8F1,TS_ACW8F1,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW8F1,,,NOT SURE
Windows,TS_ACW8F2,TS_ACW8F2,TS_ACW8F2,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW8F2,,,NOT SURE
Windows,TS_ACW5mF1,TS_ACW5mF1,TS_ACW5mF1,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW5mF1,,,NOT SURE
Windows,TS_ACW7,TS_ACW7,TS_ACW7,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW7,,,NOT SURE
Windows,TS_ACW5F2,TS_ACW5F2,TS_ACW5F2,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW5F2,,,NOT SURE
Windows,TS_ACW5,TS_ACW5,TS_ACW5,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW5,,,NOT SURE
Windows,TS_ACW5m,TS_ACW5m,TS_ACW5m,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW5m,,,NOT SURE
Windows,TS_Louver Window (Type D),TS_Louver Window (800x2500),TS_Louver Window (Type D),,,WINDOW : Horizontal Aluminum Louver Blade Window,,TS_Louver Window (800x2500),,,NOT SURE
Windows,TS_AL Screen (1000x2000) - Type A,TS_AL Screen (1000x2000) - Type A,TS_AL Screen (1000x2000) - Type A,,,WINDOW : Aluminum Screen,,TS_AL Screen (1000x2000) - Type A,,,NOT SURE
Windows,TS_Louver Window,TS_Louver Window (420x900),TS_Louver Window,,,Window : Horizontal Fixed Louver,,TS_Louver Window (420x900),,,NOT SURE
Windows,TS_ATW5L,TS_ATW5L,TS_ATW5L,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_ATW5L,,,NOT SURE
Floors,Floor,TS_150mm Thk. PC Plank Slab + CIS,Floor,,,FLOOR : 150mm Thk. Cast-In-Situ Slab,Grade C40/50,TS_150mm Thk. PC Plank Slab + CIS,TS_CIS Slab,,Floor Finish
