"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Electrical Equipment","ACM_ELEC_DB","DB-SS","ACM_ELEC_DB","[3315249]","","","","","DB-SS","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3316940]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3316974]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3317125]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3317169]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3343346]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3343386]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3343534]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3343668]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","ACM_1200mm 34W_WP (L1)","ACM_LIGT_LED Linear 1200_FOR SUBSTATION","[3348998]","","","","","ACM_1200mm 34W_WP (L1)","",""
"Lighting Fixtures","","","DL4","[3818454]","","","","","","","",""
"Lighting Fixtures","","","DL4","[3818465]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822244]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822337]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822349]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822357]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822365]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822375]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822385]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822395]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822405]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822411]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822578]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[3822588]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4494228]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4494256]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4494264]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4494272]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4496727]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4496810]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4496818]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4496830]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4496838]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4496846]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4496854]","","","","","","","",""
"Lighting Fixtures","","","ACM_LIGT_Recessed LED Lighting(600x600)","[4497117]","","","","","","","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4220445]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4220511]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4241080]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4241140]","","","","","1x16W LED Batten(W/P)","",""
"Lighting Fixtures","WT188C LED20 NW L1200 PSD(Wall Mount)","1x16W LED Batten(W/P)","WT188C LED20 NW L1200 PSD(Wall Mount)","[4241189]","","","","","1x16W LED Batten(W/P)","",""
