"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Floors","Floor","Internal Road (Tarmac)","Floor","[789241]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[791933]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[794465]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[3771703]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653267]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653476]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653540]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Internal Road (Tarmac)","Floor","[5653627]","","","","","Internal Road (Tarmac)","Tarmac Road",""
"Floors","Floor","Turfing","Floor","[803002]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[803742]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[5652766]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[5652910]","","","","","Turfing","<By Category>",""
"Floors","Floor","Turfing","Floor","[5737934]","","","","","Turfing","<By Category>",""
"Floors","Floor","Footpath (Concrete Screed)","Floor","[3432995]","","","","","Footpath (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)","Floor","[5652762]","","","","","Footpath (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)","Floor","[5652898]","","","","","Footpath (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5662901]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5663114]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5680345]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5692293]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","K2 Kerb (Concrete Screed)","Floor","[5737769]","","","","","K2 Kerb (Concrete Screed)","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)_150mm","Floor","[5663377]","","","","","Footpath (Concrete Screed)_150mm","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)_150mm","Floor","[5663421]","","","","","Footpath (Concrete Screed)_150mm","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed)_150mm","Floor","[5663477]","","","","","Footpath (Concrete Screed)_150mm","Concrete - Cast In Situ",""
"Floors","Floor","Internal Road (Tarmac) 2","Floor","[5736753]","","","","","Internal Road (Tarmac) 2","Tarmac Road",""
"Floors","Floor","Footpath (Concrete Screed) 2","Floor","[5738060]","","","","","Footpath (Concrete Screed) 2","Concrete - Cast In Situ",""
"Floors","Floor","Footpath (Concrete Screed) 2","Floor","[5738292]","","","","","Footpath (Concrete Screed) 2","Concrete - Cast In Situ",""
"Generic Models","","","PD_Drop Inlet Chamber","[5696709]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5696777]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5696858]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5696925]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5696971]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697041]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697078]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697115]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697152]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697189]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697226]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697263]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697300]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697381]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697420]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697495]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697532]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697569]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697606]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697643]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697680]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697717]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697754]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697791]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697836]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697918]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5697975]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698050]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698087]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698124]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698173]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698263]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698335]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698372]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698430]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698482]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698552]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698589]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698641]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698717]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698762]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698809]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698853]","","","","","","","",""
"Generic Models","","","PD_Drop Inlet Chamber","[5698925]","","","","","","","",""
