Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Doors,TS_FDV1d,FDV1d,TS_FDV1d,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FDV1d,,,
Doors,TS_FD3,FD3,TS_FD3,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FD3,,,
Doors,TS_FDV2A,FDV2A,TS_FDV2A,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FDV2A,,,
Doors,TS_FD2A,FD2A,TS_FD2A,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FD2A,,,
Doors,,,TS_Fire Lift Signage,,,,,,,,
Doors,,,TS_Handicap Logo,,,,,,,,
Doors,TS_Fire Lift Door-(Opt1),Fire Lift Door,TS_Fire Lift Door Jamb,,,,,TS_Fire Lift Door Jamb,,,
Doors,TS_Fire Lift Door-(Opt1),Fire Lift Door,TS_Fire Lift Door-(Opt1),,,Door : Fire Lift Door,,Fire Lift Door,,,
Doors,,,TS_Passenger Lift Signage,,,,,,,,
Doors,TS_Passenger Lift Door-(Opt1),TS_Passenger Lift Signage [77781817],TS_Fire Lift Door Jamb,,,,,TS_Fire Lift Door Jamb,,,
Doors,TS_Passenger Lift Door-(Opt1),Passenger Lift Door,TS_Passenger Lift Door-(Opt1),,,Door : Fire Lift Door,,Passenger Lift Door,,,
Doors,TS_FDV1,FDV1,TS_FDV1,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FDV1,,,
Doors,TS_MDL1,MDL1,TS_MDL1,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,MDL1,,,
Doors,TS_BD1,BD1,TS_BD1,,,"Door : Bi-Fold Door, Acrylic",MCR03-01-01-,BD1,,,
Doors,TS_AD (SR),AD (SR),TS_AD (SR),,,"Door : Swing Door, Aluminum Powder Coat",MCR03-01-01-,AD (SR),,,
Doors,TS_FDV1b,FDV1b,TS_FDV1b,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FDV1b,,,
Doors,TS_FDV2,FDV2,TS_FDV2,,,"Door : Swing Door, Hot Dipped Galvanized Steel With Spray Paint",MCR03-01-01-,FDV2,,,
Doors,TS_Cargo Lift Door1,LD 2 cargo,TS_Cargo Lift Door1,,,Door : Cargo Lift Door,,LD 2 cargo,,,
Doors,TS_Cargo Lift Door1,LD 1 cargo,TS_Cargo Lift Door1,,,Door : Cargo Lift Door,,LD 1 cargo,,,
Doors,TS_Cargo Lift Door,TS_Cargo Lift 02,TS_Cargo Lift Door,,,,,TS_Cargo Lift 02,,,
Doors,TS_Cargo Lift Door,TS_Cargo Lift 01,TS_Cargo Lift Door,,,,,TS_Cargo Lift 01,,,
Doors,DR-Lift door Al-passenger,LD 3 cargo,DR-Lift door Al-passenger,,,,,LD 3 cargo,,,
Doors,TS_FD1A,FD1A,TS_FD1A,,,"Door : Swing Door, Fire Rated Aluminum Door",MCR03-01-01-,FD1A,,,
Parking,,,TS_Car Park,,,,,,,,
Parking,,,TS_Lorry Park,,,,,,,,
Parking,,,TS_Motorycyle Park,,,,,,,,
Windows,TS_ACW4,TS_ACW4,TS_ACW4,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW4,,,
Windows,TS_ATW3,TS_ATW3,TS_ATW3,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_ATW3,,,
Windows,TS_ATW4m,TS_ATW4m,TS_ATW4m,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_ATW4m,,,
Windows,TS_GLW4,TS_GLW4,TS_GLW4,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_GLW4,,,
Windows,TS_ASW6,TS_ASW6,TS_ASW6,,,WINDOW : Aluminum Frame Sliding Glass Window,,TS_ASW6,,,
Windows,TS_ASW7,TS_ASW7,TS_ASW7,,,Aluminum Frame Sliding Glass Window,,TS_ASW7,,,
Windows,TS_GLW3.1,TS_GLW3.1,TS_GLW3.1,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_GLW3.1,,,
Windows,TS_GLW2,TS_GLW2,TS_GLW2,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_GLW2,,,
Windows,TS_ACW6F1,TS_ACW6F1,TS_ACW6F1,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW6F1,,,
Windows,TS_ATW1,TS_ATW1,TS_ATW1,,,Window : Aluminum Frame Fixed Top Hung Window,,TS_ATW1,,,
Windows,TS_ACW9,TS_ACW9,TS_ACW9,,,Aluminum Frame Casement Glass Window,,TS_ACW9,,,
Windows,TS_ACW6,TS_ACW6,TS_ACW6,,,Aluminum Frame Casement Glass Window,,TS_ACW6,,,
Windows,TS_ACW6F3,ACW6F3,TS_ACW6F3,,,WINDOW : Aluminum Frame Casement Glass Window,,ACW6F3,,,
Windows,TS_ASW10,TS_ASW10,TS_ASW10,,,WINDOW : Aluminum Frame Sliding Glass Window,,TS_ASW10,,,
Windows,TS_ACW6F2,TS_ACW6F2,TS_ACW6F2,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW6F2,,,
Windows,TS_ASW9,TS_ASW9,TS_ASW9,,,WINDOW : Aluminum Frame Sliding Glass Window,,TS_ASW9,,,
Windows,TS_ASW9m,TS_ASW9m,TS_ASW9m,,,WINDOW : Aluminum Frame Sliding Glass Window,,TS_ASW9m,,,
Windows,TS_AL Screen (3320x2000) - Type B,TS_AL Screen (3320x2000) - Type B,TS_AL Screen (3320x2000) - Type B,,,WINDOW : Aluminum Screen,,TS_AL Screen (3320x2000) - Type B,,,
Windows,TS_ATW2L,TS_ATW2L,TS_ATW2L,,,WINDOW : Aluminum Frame Fixed Top Hung Window,,TS_ATW2L,,,
Windows,TS_ASW10m,TS_ASW10m,TS_ASW10m,,,WINDOW : Aluminum Frame Sliding Glass Window,,TS_ASW10m,,,
Windows,TS_AL Screen (3220x2000) - Type B,TS_AL Screen (3220x2000) - Type B,TS_AL Screen (3220x2000) - Type B,,,WINDOW : Aluminum Screen,,TS_AL Screen (3220x2000) - Type B,,,
Windows,TS_ACW9F1,TS_ACW9F1,TS_ACW9F1,,,WINDOW : Aluminum Frame Casement Glass Window,,TS_ACW9F1,,,
